seconds,minutes,temperature,log,real_k
37,0.616666666666667,97.125,4.306,0.0617068614093962
38,0.633333333333333,96.937,4.303,0.0640926988519656
39,0.65,96.875,4.302,0.0637399171191102
40,0.666666666666667,96.812,4.302,0.0634261527591785
41,0.683333333333333,96.687,4.300,0.0643595546202158
42,0.7,96.625,4.299,0.0640296855456186
43,0.716666666666667,96.562,4.298,0.063735116926973
44,0.733333333333333,96.437,4.296,0.0646057173395755
45,0.75,96.375,4.296,0.0642961916072311
46,0.766666666666667,96.25,4.29,0.0651224008128354
47,0.783333333333333,96.187,4.293,0.0648352497278353
48,0.8,96.062,4.291,0.0656212826259481
49,0.816666666666667,96.0,4.3,0.065321609026889
50,0.833333333333333,95.875,4.289,0.0660717326196329
51,0.85,95.812,4.288,0.06579370008239
52,0.866666666666667,95.75,4.29,0.0655113643870177
53,0.883333333333333,95.625,4.285,0.0662221207716323
54,0.9,95.562,4.284,0.065960058923173
55,0.916666666666667,95.437,4.283,0.0666416763051194
56,0.933333333333333,95.437,4.283,0.0654516463710994
57,0.95,95.312,4.281,0.0661214014290253
58,0.966666666666667,95.187,4.279,0.0667711526570537
59,0.983333333333333,95.125,4.278,0.0665132512122918
60,1,95.062,4.278,0.0662785622699861
61,1.01666666666667,94.937,4.276,0.0668996910231957
62,1.03333333333333,94.875,4.275,0.0666550865188738
63,1.05,94.812,4.274,0.0664322179477157
64,1.06666666666667,94.687,4.272,0.0670275015985028
65,1.08333333333333,94.625,4.271,0.0667949970634896
66,1.1,94.562,4.271,0.0665829227537244
67,1.11666666666667,94.5,4.3,0.0663653481973627
68,1.13333333333333,94.437,4.269,0.0661671877484629
69,1.15,94.312,4.267,0.0667311353473772
70,1.16666666666667,94.25,4.27,0.0665233737470775
71,1.18333333333333,94.125,4.264,0.0670703065412866
72,1.2,94.062,4.264,0.066877238689574
73,1.21666666666667,94.0,4.3,0.0666785299827684
74,1.23333333333333,93.937,4.262,0.066497239995367
75,1.25,93.875,4.261,0.0663101278446142
76,1.26666666666667,93.812,4.260,0.0661396926241987
77,1.28333333333333,93.75,4.26,0.0659632872703926
78,1.3,93.625,4.257,0.0664778710669837
79,1.31666666666667,93.562,4.256,0.0663141766220115
80,1.33333333333333,93.5,4.3,0.0661445340265958
81,1.35,93.437,4.255,0.0659901693114472
82,1.36666666666667,93.312,4.253,0.066485078481468
83,1.38333333333333,93.312,4.253,0.0656840534395229
84,1.4,93.187,4.251,0.0661730808257123
85,1.41666666666667,93.125,4.250,0.0660183938899929
86,1.43333333333333,93.062,4.249,0.0658778075805009
87,1.45,93.0,4.2,0.0657311584857413
88,1.46666666666667,92.937,4.248,0.0655981261687424
89,1.48333333333333,92.875,4.247,0.0654589822775871
90,1.5,92.812,4.246,0.0653330047273957
91,1.51666666666667,92.687,4.244,0.0657966824920073
92,1.53333333333333,92.625,4.243,0.0656619936562408
93,1.55,92.562,4.242,0.0655399874996936
94,1.56666666666667,92.5,4.2,0.0654119165635769
95,1.58333333333333,92.437,4.240,0.0652961401262101
96,1.6,92.375,4.240,0.0651742811169283
97,1.61666666666667,92.375,4.240,0.064502381311599
98,1.63333333333333,92.312,4.239,0.0644004309031584
99,1.65,92.25,4.24,0.0642922889613551
100,1.66666666666667,92.187,4.237,0.064195462889925
101,1.68333333333333,92.187,4.237,0.0635598642474508
102,1.7,92.125,4.236,0.0634640953006971
103,1.71666666666667,92.062,4.235,0.0633790893127129
104,1.73333333333333,92.0,4.2,0.0632878368787066
105,1.75,91.937,4.233,0.0632070730358714
106,1.76666666666667,91.875,4.232,0.0631200873852482
107,1.78333333333333,91.812,4.231,0.0630433309451726
108,1.8,91.75,4.23,0.0629603807261128
109,1.81666666666667,91.687,4.230,0.0628874141621268
110,1.83333333333333,91.625,4.229,0.0628082847403578
111,1.85,91.562,4.228,0.0627389061951633
112,1.86666666666667,91.5,4.2,0.0626633981708057
113,1.88333333333333,91.437,4.226,0.0625974200737835
114,1.9,91.312,4.224,0.0630105132886204
115,1.91666666666667,91.25,4.22,0.0629363414549293
